GOV_CODE,GOV_NAME,DEPT_CODE,DEPT_NAME,VILL_CODE,VILL_NAME,HOD_CODE,HOD_NAME,SECT_CODE,SECT_NAME
1,محافظة العاصمة,1,اراضي عمان,1,عمان,1,عرجان,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,2,قطنة الشمالي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,3,قطنة الجنوبي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,4,جرينين الشرقي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,5,جرينين الغربي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,6,جرينين الجنوبي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,7,الطهطور الشمالي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,8,العبارة,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,9,الطهطور الجنوبي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,10,ظهر الطهطور,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,11,وادي السلط,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,12,اللويبدة الشمالي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,13,الشميساني,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,14,اللويبدة الوسطاني,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,15,اللويبدة الشرقي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,16,اللويبدة الغربي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,17,الملفوف الشمالي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,18,وادي صقره,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,19,ام اذينه الشمالي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,20,ام اذينه الجنوبي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,21,ام اذينه,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,22,الملفوف الشرقي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,23,الملفوف الغربي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,24,العماوي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,25,عبدون الشمالي الشرقي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,26,عبدون الشمالي الغربي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,27,عبدون,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,28,خربة عبدون,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,29,عبدون الوسطاني,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,30,عبدون الجنوبي,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,31,حنيكين,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,32,خريطه,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,32,خريطه,218,نظام لوحات
1,محافظة العاصمة,1,اراضي عمان,1,عمان,32,خريطه,219,نظام لوحات
1,محافظة العاصمة,1,اراضي عمان,1,عمان,33,المدينه,0,جدول الأحياء
1,محافظة العاصمة,1,اراضي عمان,1,عمان,33,المدينه,1,اللويبدة
1,محافظة العاصمة,1,اراضي عمان,1,عمان,33,المدينه,2,جبل عمان الجديد
1,محافظة العاصمة,1,اراضي عمان,1,عمان,33,المدينه,3,جبل الطهطور
1,محافظة العاصمة,1,اراضي عمان,1,عمان,33,المدينه,4,جبل القلعه
1,محافظة العاصمة,1,اراضي عمان,1,عمان,33,المدينه,5,الشارع الهاشمي
1,محافظة العاصمة,1,اراضي عمان,1,عمان,33,المدينه,6,الهاشميه
1,محافظة العاصمة,1,اراضي عمان,1,عمان,33,المدينه,7,جبل خريطه
1,محافظة العاصمة,1,اراضي عمان,1,عمان,33,المدينه,8,المحطه
